asin,product_name,brand_name,product_category,number_of_reviews,review_rating
B01LA0R2X6,"Corsair CO-9050067-WW HD Series, HD120 RGB LED, 120mm High Performance RGB LED PWM Three Fans with Controller",Corsair,pc,164,4.19
B01LA2LB7W,"CORSAIR Crystal 460X RGB Compact Mid-Tower Case, 3 RGB Fans, Tempered Glass - Black",Corsair,pc,207,4.31
B071RYZRJD,CORSAIR VENGEANCE RGB 16GB (2x8GB) DDR4 3200MHz C16 Desktop Memory - Black,Corsair,pc,97,4.56
B0134EW44S,Corsair Vengeance LPX 32GB (2x16GB) DDR4 DRAM 2666MHz (PC4-21300) C16 Memory Kit - Black,Corsair,pc,148,4.46
B01G5I6MSE,"Corsair ML140 Pro LED, White, 140mm Premium Magnetic Levitation Cooling Fan CO-9050046-WW",Corsair,pc,94,4.43
B019MRBKYG,Corsair Memory Kit 16GB DDR4 2400MHz SODIMM Memory (CMSX16GX4M2A2400C16),Corsair,pc,198,4.7
B00A0HZMEM,"CORSAIR AX Series, AX760, 760 Watt, 80+ Platinum Certified, Fully Modular Power Supply",Corsair,pc,132,4.33
B01L3J23L0,"Corsair Gaming Void Surround Gaming Headset, Carbon (CA-9011146-NA)",Corsair,pc,32,3.03
B01HKF3T8C,CORSAIR VENGEANCE LED 16GB (2x8GB) DDR4 3000MHz C15 Desktop Memory - Red LED,Corsair,pc,98,4.33
B019EXSSBG,"CORSAIR Hydro Series H100i v2 AIO Liquid CPU Cooler, 240mm Radiator, Dual 120mm PWM Fans, Advanced RGB Lighting and Fan Software Control",Corsair,pc,1478,3.74
B0748N6796,CORSAIR Void PRO RGB Wireless Gaming Headset - Dolby 7.1 Surround Sound Headphones for PC - Discord Certified - 50mm Drivers - Carbon,Corsair,pc,1438,3.79
B00D6E5JMQ,Corsair CMY32GX3M4A1600C9 Vengeance Pro 32GB (4x8GB) DDR3 1600 MHz (PC3 12800) Desktop 1.5V,Corsair,pc,44,4.65
B01LZ2SET7,CORSAIR MM800 Polaris RGB Mouse Pad - 15 RGB LED Zones - USB Passthrough - High-Performance Mouse Pad Optimized for Gaming Sensors,Corsair,pc,367,4.45
B0196QNBU4,Corsair Vengeance LPX 32GB (2x16GB) DDR4 DRAM 2133MHz (PC4 17000) C13 Memory Kit - Black,Corsair,pc,35,4.51
B00A0HZNDW,"CORSAIR AXi Series, AX860i, 860 Watt, 80+ Platinum Certified, Fully Modular - Digital Power Supply",Corsair,pc,218,3.74
B00D2LGRLK,Corsair CMY16GX3M2A1600C9B Vengeance Pro Series Blue 16GB (2x8GB) DDR3 1600 MHZ (PC3 12800) Desktop Memory 1.5V,Corsair,pc,37,4.7
B009KY58FE,HP x4000b Bluetooth Mouse - Matte Black,HP Inc.,pc,703,3.85
B01DT48WZS,Linksys AC1900 Gigabit Range Extender / WiFi Booster / Repeater MU-MIMO (Max Stream RE7000),Linksys,pc,616,3.78
B07195Z2BW,"Linksys High Speed DOCSIS 3.0 24x8 AC1900 Cable Modem Router, Certified for Xfinity by Comcast and Spectrum by Charter (CG7500)",Linksys,pc,150,3.32
